ID,Date Category,Sk_Age,Site,Region,bone_d13C,bone_d15N,dentine_d13C,dentine_d15N,enamel_d13C,D13C_dent-bone,D15N_dent-bone,D13C_tooth_enamel_dent,E13Cenamel-dentinecoll,E13Cdent-bone,,
BAEH_626.2,B,M4,Edix  Hill,Cambridge and South Cambs,-20.28,10.71,-20.16,11.33,-14.15,0.12,0.63,6.01,6.13,0.125206097,,
BAEH_683.2,C/D,F5,Edix  Hill,Cambridge and South Cambs,-20.25,9.78,-19.83,9.73,-14.11,0.42,-0.05,5.72,5.84,0.426638433,,
CD74_2,B,M5,Collingbourne Ducis,Wessex,-20.23,9.11,-19.75,10.24,-13.45,0.48,1.13,6.30,6.43,0.488208821,,
CD74_4A,B/C,M4,Collingbourne Ducis,Wessex,-20.47,8.57,-19.91,8.43,-13.86,0.57,-0.14,6.05,6.17,0.5771499,,
CD74_4B,B/C,M3,Collingbourne Ducis,Wessex,-20.25,6.56,-20.06,7.15,-14.45,0.20,0.59,5.61,5.72,0.202433282,,
CD74_8,B/C,0,Collingbourne Ducis,Wessex,-20.34,9.69,-20.82,9.53,-14.49,-0.48,-0.16,6.33,6.46,-0.486734321,,
CD74_10,B/C,2,Collingbourne Ducis,Wessex,-20.41,6.54,-19.98,7.00,-13.85,0.42,0.46,6.13,6.26,0.429769592,,
CD74_11,B,M4,Collingbourne Ducis,Wessex,-20.54,6.83,-19.99,8.24,-13.47,0.55,1.41,6.52,6.66,0.560173947,,
CD74_14,B,F5,Collingbourne Ducis,Wessex,-20.41,8.55,-19.87,10.52,-14.37,0.55,1.97,5.50,5.61,0.55703842,,
CD74_15,B,M3,Collingbourne Ducis,Wessex,-20.42,6.40,-19.89,6.70,-13.75,0.53,0.30,6.14,6.26,0.54445232,,
CD74_17,B/C,M3,Collingbourne Ducis,Wessex,-20.53,9.34,-20.65,11.58,-16.23,-0.11,2.24,4.41,4.51,-0.116389634,,
CD74_18,B/C,M4/5,Collingbourne Ducis,Wessex,-20.56,10.06,-20.19,10.41,-15.10,0.36,0.35,5.10,5.20,0.368916787,,
CD74_20,B,F5,Collingbourne Ducis,Wessex,-20.23,8.13,-19.75,9.81,-13.82,0.48,1.67,5.92,6.04,0.488547541,,
CD74_21,B/C,U5,Collingbourne Ducis,Wessex,-20.15,9.00,-19.91,10.85,-15.26,0.24,1.85,4.65,4.75,0.24187318,,
CD75_31,B,F4,Collingbourne Ducis,Wessex,-20.83,7.09,-20.05,8.87,-14.81,0.78,1.79,5.24,5.35,0.794890099,,
CD75_34,B,M4/5,Collingbourne Ducis,Wessex,-20.36,9.29,-19.98,10.49,-14.47,0.38,1.20,5.51,5.63,0.386877733,,
DBC92_204,B,F4,Buckland Dover,Kent and East Sussex,-20.07,8.80,-19.97,9.22,-14.83,0.10,0.42,5.14,5.24,0.105789833,,
DBC94_250,A/B,F5,Buckland Dover,Kent and East Sussex,-19.78,10.17,-19.85,10.95,-13.71,-0.08,0.78,6.15,6.27,-0.079233536,,
DBC94_264,A-C,M5,Buckland Dover,Kent and East Sussex,-19.73,9.71,-20.14,9.26,,-0.41,-0.44,,,-0.416213275,,
DBC94_271,C,F4,Buckland Dover,Kent and East Sussex,-19.59,10.39,-19.65,9.34,-13.74,-0.06,-1.04,5.91,6.03,-0.063238828,,
DBC94_297,B,M4/5,Buckland Dover,Kent and East Sussex,-19.48,12.14,-19.30,14.04,-13.77,0.19,1.90,5.53,5.64,0.189015738,,
DBC94_323,B/C,M5,Buckland Dover,Kent and East Sussex,-19.97,9.20,-20.16,9.73,-14.81,-0.18,0.53,5.35,5.46,-0.187069612,,
DBC94_336,B,F5,Buckland Dover,Kent and East Sussex,-19.77,9.50,-20.09,9.83,-14.38,-0.33,0.33,5.71,5.83,-0.334613866,,
DBC94_346,B/C,M5,Buckland Dover,Kent and East Sussex,-19.94,10.91,-19.86,11.95,-12.55,0.07,1.04,7.31,7.46,0.075845619,,
DBC94_347,B/C,F3,Buckland Dover,Kent and East Sussex,-20.17,9.20,-20.01,9.34,-13.87,0.16,0.14,6.14,6.27,0.167036517,,
DBC94_375,B/C,M4,Buckland Dover,Kent and East Sussex,-19.86,9.99,-19.77,9.55,-13.85,0.09,-0.44,5.92,6.04,0.094544413,,
DBC94_407,B,F4,Buckland Dover,Kent and East Sussex,-20.01,8.74,-20.02,9.10,-14.61,-0.01,0.35,5.41,5.52,-0.009523913,,
DBC94_420,B/C,F4,Buckland Dover,Kent and East Sussex,-19.99,9.67,-20.00,9.35,,-0.01,-0.32,,,-0.008843453,,
DBC94_391B,A/B,F4,Buckland Dover,Kent and East Sussex,-20.07,9.36,-19.74,9.74,-14.91,0.33,0.37,4.83,4.93,0.33641813,,
